Subject	Block	Trial	Object_Type	Exit	Response	RT	Exit_Response	Exit_RT	Changed_Color
8888      	-2        	1         	5         	3         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	-2        	2         	6         	1         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	-2        	3         	4         	2         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	-2        	4         	5         	3         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	-2        	5         	6         	1         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	-2        	6         	4         	2         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	-1        	7         	4         	2         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	-1        	8         	6         	1         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	-1        	9         	5         	3         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	-1        	10        	6         	1         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	-1        	11        	5         	3         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	-1        	12        	4         	2         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	1         	2         	0         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	1         	2         	2         	3         	2         	1.182855  	-1        	-1.000000 	0         
8888      	1         	3         	2         	2         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	4         	3         	1         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	5         	1         	3         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	1         	6         	2         	1         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	1         	7         	3         	1         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	8         	3         	3         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	9         	1         	1         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	10        	1         	2         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	11        	3         	0         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	1         	12        	1         	2         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	1         	13        	3         	2         	-1        	-1.000000 	-1        	-1.000000 	1         
8888      	1         	14        	1         	0         	-1        	-1.000000 	-1        	-1.000000 	0         
8888      	1         	15        	2         	3         	-1        	-1.000000 	-1        	-1.000000 	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
0         	0         	0         	0         	0         	0         	0.000000  	0         	0.000000  	0         
